sep=,
DeviceTag:,Xsens DOT7
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2023-12-17_11:42:38_431 GMT+8
© Movella Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,1532629266,-90.940140,-33.435043,97.092880,-0.060917,-0.059152,0.140241,0.000000,0.000000,0.000000
2,1532645933,-90.821602,-33.420963,96.993576,-0.029861,-0.095599,0.132647,3.814660,-1.870752,-2.059197
3,1532662600,-90.726524,-33.339260,96.958305,0.033340,-0.075431,0.078260,2.534204,-2.002491,-1.937127
4,1532679267,-90.725243,-33.266933,96.816711,0.146235,-0.026157,0.023430,0.490246,-1.357140,-2.368393
5,1532695934,-90.815895,-33.224255,96.837410,0.260960,0.040256,-0.100870,0.008612,0.068559,-1.860173
6,1532712601,-90.957306,-33.202908,96.798981,0.211193,0.111929,-0.131904,0.619065,1.494866,-0.617817
7,1532729268,-91.079697,-33.193733,96.790237,0.121407,0.113562,-0.072938,1.070438,2.181812,1.052086
8,1532745935,-91.151711,-33.187904,96.711319,0.045847,0.099366,-0.009902,1.952116,2.063545,1.915234
9,1532762602,-91.189316,-33.186607,96.701706,0.015667,0.060260,0.022482,1.660785,2.089209,1.965986
10,1532779269,-91.216667,-33.189754,96.640556,-0.042204,-0.002236,0.086370,0.133782,2.774246,1.501602
11,1532795936,-91.225227,-33.192368,96.580910,-0.051051,-0.056388,0.063248,-0.500562,3.175866,1.023720
12,1532812603,-91.209770,-33.193893,96.467316,-0.054566,-0.074035,0.095889,-0.694924,4.175529,0.517498
13,1532829270,-91.173027,-33.211761,96.398422,-0.097745,-0.013507,0.002503,0.011404,4.109692,-0.898442
14,1532845937,-91.118996,-33.215641,96.328941,-0.095158,0.116586,0.003693,2.035320,1.749572,-0.141446
15,1532862604,-91.064178,-33.205044,96.317070,-0.037622,0.155760,-0.014191,2.851033,0.117722,1.066583
16,1532879271,-91.024696,-33.165470,96.327637,0.032260,0.157269,0.009459,2.359538,-0.547702,3.113244
17,1532895938,-91.012650,-33.116302,96.362053,-0.064213,0.083138,0.154911,0.965554,-0.629471,3.876092
18,1532912605,-91.034660,-33.103668,96.384949,-0.055036,0.023663,0.245651,-0.829864,-1.132722,1.665114
19,1532929272,-91.028389,-33.118984,96.406464,0.008557,0.039932,0.188039,0.563767,-0.736327,-0.130292
20,1532945939,-90.987488,-33.151543,96.421188,-0.012563,0.049666,0.150865,2.451078,-0.302179,-1.242613
21,1532962606,-90.953247,-33.184917,96.443665,-0.015047,0.049836,0.120012,2.398533,-0.792188,-1.351262
22,1532979273,-90.950615,-33.225624,96.467247,0.012383,0.052713,0.096610,0.541715,-0.822705,-1.834586
23,1532995940,-90.980232,-33.254578,96.496483,-0.007308,0.040503,0.077538,-1.228436,-1.000445,-1.171768
24,1533012607,-91.055176,-33.308113,96.499565,0.123824,0.043743,0.008101,-4.373522,-0.298913,-2.680318
25,1533029274,-91.133934,-33.402603,96.468849,0.164436,-0.029973,-0.010083,-5.859188,1.908447,-5.144184
26,1533045941,-91.201012,-33.541759,96.390701,0.164462,-0.092286,-0.071831,-6.554894,4.313840,-7.882465
27,1533062608,-91.276810,-33.686321,96.330963,0.094403,-0.079766,-0.086300,-7.265814,4.771770,-8.329664
28,1533079275,-91.343773,-33.817604,96.289185,0.055419,-0.075194,-0.109042,-6.533726,4.489416,-7.629194
29,1533095942,-91.400116,-33.956257,96.155357,0.135815,-0.035151,-0.023046,-6.012788,4.651364,-8.136389
30,1533112609,-91.455017,-34.117020,96.057968,0.142476,0.030183,0.050248,-6.799163,6.047489,-9.462323
31,1533129276,-91.535324,-34.308002,95.970039,0.136557,0.035459,0.198380,-9.297302,7.586033,-11.224890
32,1533145943,-91.712921,-34.566269,95.805748,0.122430,0.023088,0.307286,-16.473955,9.675851,-15.178422
33,1533162610,-91.926605,-34.875229,95.596672,0.054460,-0.007406,0.246083,-20.001787,11.732491,-18.123396
34,1533179277,-92.114281,-35.170670,95.397972,0.082975,0.092610,0.109340,-18.349754,11.479444,-17.290884
35,1533195944,-92.317688,-35.466896,95.174385,0.212187,0.210008,0.085381,-19.308542,11.445251,-17.266603
36,1533212611,-92.555405,-35.807377,94.909668,0.350101,0.247098,0.139911,-23.698454,14.843157,-19.662487
37,1533229278,-92.902115,-36.259884,94.515732,0.309670,0.216329,0.135877,-34.517887,21.115870,-25.945234
38,1533245945,-93.274689,-36.800449,93.995819,0.387205,0.117289,0.195928,-40.071838,26.721647,-30.751383
39,1533262612,-93.532684,-37.419506,93.211494,0.277994,0.238533,0.041629,-43.251213,40.058750,-34.522900
40,1533279279,-93.838478,-38.029613,92.496071,-0.077126,-0.182261,-0.059341,-44.001438,36.688118,-33.954365
41,1533295946,-93.996590,-38.593658,91.841553,0.002115,0.012681,-0.078411,-33.297028,33.458023,-31.347250
42,1533312613,-94.157654,-39.116802,91.265549,-0.002299,0.051552,-0.066380,-30.860800,29.455004,-29.096262
43,1533329280,-94.332916,-39.653217,90.723312,0.087942,0.084495,-0.039038,-30.717506,27.809458,-29.936350
